X,Y,YEAR,MO,DAY,VEI,VOL_ID,FATALITIES,ASSOC_EQ,ASSOC_TSU,DAMAGE_MILLIONS_DOLLARS,DAMAGE_AMOUNT_ORDER,DAMAGE_DESCRIPTION,DEATHS,DEATHS_AMOUNT_ORDER,DEATHS_DESCRIPTION,INJURIES,INJURIES_AMOUNT_ORDER,INJURIES_DESCRIPTION,MISSING,MISSING_AMOUNT_ORDER,MISSING_DESCRIPTION,HOUSES_DESTROYED,HOUSES_AMOUNT_ORDER,HOUSES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS_TOTAL,DAMAGE_AMOUNT_ORDER_TOTAL,DAMAGE_TOTAL_DESCRIPTION,DEATHS_TOTAL,DEATHS_AMOUNT_ORDER_TOTAL,DEATHS_TOTAL_DESCRIPTION,INJURIES_TOTAL,INJURIES_AMOUNT_ORDER_TOTAL,INJURIES_TOTAL_DESCRIPTION,MISSING_TOTAL,MISSING_AMOUNT_ORDER_TOTAL,MISSING_TOTAL_DESCRIPTION,HOUSES_DESTROYED_TOTAL,HOUSES_AMOUNT_ORDER_TOTAL,HOUSES_TOTAL_DESCRIPTION,SIGNIF,VALIDITY,NUM,NAME,LOCATION,LATITUDE,LONGITUDE,ELEVATION,MORPHOLOGY,STATUS,TIME_ERUPT,ID,COUNTRY,NUM_SLIDES,SIG_ID,TSU_ID,HAZ_EVENT_ID,OBJECTID
13135699.91,-921575.8334,1815,4,10,7,60404,11000,,Y,,4,Extreme (~$25 million or more),11000,4,Very Many (~1001 or more people),,4,Very Many (~1001 or more people),,,,,4,Very Many (~1001 or more houses),,4,Extreme (~$25 million or more),60000,4,Very Many (~1001 or more people),,4,Very Many (~1001 or more people),,,,,4,Very Many (~1001 or more houses),1,,0604-04=,Tambora,Lesser Sunda Is,-8.25,118,2850,Stratovolcano,Historical,D1,60404,Indonesia,0,,613,367,547
14374129.25,-772210.5418,1660,2,,4,60505,3,,,,,,3,1,Few (~1 to 50 people),,,,,,,,,,,,,3,1,Few (~1 to 50 people),,,,,,,,,,1,,0605-05=,Teon,Banda Sea,-6.92,129.125,655,Stratovolcano,Historical,D2,60505,Pacific Ocean,0,,,458,575
14374129.25,-772210.5418,1659,11,11,4,60505,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0605-05=,Teon,Banda Sea,-6.92,129.125,655,Stratovolcano,Historical,D2,60505,Pacific Ocean,0,,285,457,575
19723587.38,-4511838.072,1914,9,10,,40104,11,,,,,,11,1,Few (~1 to 50 people),,,,,,,,,,,,,11,1,Few (~1 to 50 people),,,,,,,,,,1,,0401-04=,White Island,New Zealand,-37.52,177.18,321,Stratovolcano,Historical,D1,40104,New Zealand,0,,,32,786
4516231.741,1446025.857,1907,8,4,2,201112,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,1,,0201-112,Alayta,Africa-NE,12.88,40.57,1501,Shield volcano,Historical,D2,201112,Ethiopia,0,,,11,855
4634230.402,1263874.866,1631,2,14,,201141,50,Y,,,2,Moderate (~$1 to $5 million),50,1,Few (~1 to 50 people),,,,,,,,,,,2,Moderate (~$1 to $5 million),50,1,Few (~1 to 50 people),,,,,,,,,,1,,0201-141,Dama Ali,Africa-NE,11.28,41.63,1068,Shield volcano,Historical,D5,201141,Ethiopia,0,920,,43,30
12236238.43,-803618.1643,1979,2,20,1,60320,149,,,,,,149,3,Many (~101 to 1000 people),,,,,,,,,,,,,149,3,Many (~101 to 1000 people),,,,,,,,,,1,,0603-20=,Dieng Volc Complex,Java,-7.2,109.92,2565,Complex volcano,Historical,D1,60320,Indonesia,0,,,49,54
12236238.43,-803618.1643,1944,12,4,2,60320,117,,,,,,117,3,Many (~101 to 1000 people),250,3,Many (~101 to 1000 people),,,,,,,,,,117,3,Many (~101 to 1000 people),250,3,Many (~101 to 1000 people),,,,,,,1,,0603-20=,Dieng Volc Complex,Java,-7.2,109.92,2565,Complex volcano,Historical,D1,60320,Indonesia,0,,,45,54
1670237.64,4541916.784,1979,7,5,2,10106,9,,,,,,9,1,Few (~1 to 50 people),23,1,Few (~1 to 50 people),,,,,,,,,,9,1,Few (~1 to 50 people),23,1,Few (~1 to 50 people),,,,,,,1,,0101-06=,Etna,Italy,37.734,15.004,3350,Stratovolcano,Historical,D1,10106,Italy,0,,,30,101
1670237.64,4541916.784,1843,11,17,2,10106,56,,,,,,56,2,Some (~51 to 100 people),,2,Some (~51 to 100 people),,,,,,,,,,56,2,Some (~51 to 100 people),,2,Some (~51 to 100 people),,,,,,,1,,0101-06=,Etna,Italy,37.734,15.004,3350,Stratovolcano,Historical,D1,10106,Italy,0,,,44,101
